2020-10-01	Gạo tẻ	  35.7	  68.9	  68.9	  12850
2020-10-01	Vừng lạc	  8.0	  1.0	  1.0	  55000
2020-10-01	Dầu mỡ ăn	  1.0	  2.0	  2.0	  25000
2020-10-01	Nước mắm loại 1	  2.0	  4.0	  4.0	  16000
2020-10-01	Muối Iot	  1.0	  2.0	  2.0	  4000
2020-10-01	Mì chính	  0.2	  0.5	  0.5	  55000
2020-10-01	Dầu rửa DCCD	  0.8	  1.5	  1.5	  20000
2020-10-01	Trứng vịt	null  	null  	  16.0	  46000
2020-10-01	Đậu phụ	null  	  24.0	null  	  13000
2020-10-01	Thịt lợn nạc	  15.3	null  	null  	  126000
2020-10-01	Thịt bò 	null  	  11.5	null  	  270000
2020-10-01	Thịt gà loại 1	null  	null  	  32.0	  110000
2020-10-01	Cá rô phi	null  	null  	  40.0	  40000
2020-10-01	Tôm đầm	null  	  14.0	null  	  135000
2020-10-01	Thịt bê	null  	  9.4	null  	  270000
2020-10-01	Giò nạc	null  	null  	  13.0	  130000
2020-10-01	Chả lợn	null  	  13.0	null  	  130000
2020-10-01	Cuangao	null  	  20.0	null  	  15000
2020-10-01	Rau muống	  18.0	  37.0	  35.0	  4500
2020-10-01	Mướp đắng	null  	  8.0	null  	  15000
2020-10-01	Cà chua	  6.0	null  	null  	  22000
2020-10-01	Hành lá	  1.5	null  	null  	  23000
2020-10-01	Dưa chua	null  	null  	  5.0	  15000
2020-10-01	Ớt tươi	  1.0	null  	null  	  37000
2020-10-01	Gừng 	  0.7	null  	null  	  70000
2020-10-01	Hành khô	  0.5	null  	null  	  25000
2020-10-01	Rau mùng tơi	null  	  12.0	null  	  5000
2020-10-01	Dưa hấu	null  	  36.0	null  	  14000
2020-10-01	Ổi 	null  	null  	  43.0	  12000
2020-10-01	Me chua	  1.0	null  	  2.0	  15000
2020-10-01	Tiêu bắc	  0.1	null  	null  	  250000
2020-10-01	Khay xốp dùng 1 lần	  60.0	null  	null  	  4800
2020-10-01	Trứng vịt lộn	null  	null  	  178.0	  3500
2020-10-01	Sữa tươi 180mmml	  88.0	  60.0	  60.0	  6500
2020-10-01	Dầu di eren	  8.0	  11.0	  11.0	  12500
2020-10-02	Gạo tẻ	  35.4	  68.3	  68.3	  12850
2020-10-02	Vừng lạc	  2.7	null  	null  	  55000
2020-10-02	Dầu mỡ ăn	  1.0	  2.0	  2.0	  25000
2020-10-02	Nước mắm loại 1	  2.0	  4.0	  4.0	  16000
2020-10-02	Muối Iot	  1.0	  2.0	  2.0	  4000
2020-10-02	Mì chính	  0.2	  0.5	  0.5	  55000
2020-10-02	Dầu rửa DCCD	  0.8	  1.5	  1.5	  20000
2020-10-02	Trứng vịt	  8.0	null  	  15.0	  46000
2020-10-02	Đậu phụ	null  	  24.0	null  	  13000
2020-10-02	Thịt bò 	null  	  11.5	null  	  270000
2020-10-02	Cá chim	null  	null  	  38.0	  40000
2020-10-02	Tôm đầm	null  	  14.0	null  	  135000
2020-10-02	Thịt vịt	null  	null  	  36.0	  75000
2020-10-02	Chả lợn	null  	  12.8	null  	  130000
2020-10-02	Thịt lợn mông	  5.5	null  	  5.5	  108000
2020-10-02	Thịt lợn vai	  5.5	null  	  5.5	  108000
2020-10-02	Thịt lợn ba chi	  5.5	null  	  5.5	  108000
