2020/10/01	1	Trứng vịt	Kg	  16.0	  16.0	  46000	736000
2020/10/01	2	Đậu phụ	Kg	  24.0	  24.0	  13000	312000
2020/10/01	3	Thịt lợn nạc	Kg	  15.3	  15.3	  126000	1927800
2020/10/01	4	Thịt bò 	Kg	  11.5	  11.5	  270000	3105000
2020/10/01	5	Thịt gà loại 1	Kg	  32.0	  32.0	  110000	3520000
2020/10/01	6	Cá rô phi	kg	  40.0	  40.0	  40000	1600000
2020/10/01	7	Tôm đầm	kg	  14.0	  14.0	  135000	1890000
2020/10/01	8	Thịt bê	kg	  9.4	  9.4	  270000	2538000
2020/10/01	9	Giò nạc	kg	  13.0	  13.0	  130000	1690000
2020/10/01	10	Chả lợn	kg	  13.0	  13.0	  130000	1690000
2020/10/01	11	Cuangao	kg	  20.0	  20.0	  15000	300000
2020/10/01	12	Rau muống	kg	  90.0	  90.0	  4500	405000
2020/10/01	13	Mướp đắng	kg	  8.0	  8.0	  15000	120000
2020/10/01	14	Cà chua	kg	  6.0	  6.0	  22000	132000
2020/10/01	15	Hành lá	kg	  1.5	  1.5	  23000	34500
2020/10/01	16	Dưa chua	kg	  5.0	  5.0	  15000	75000
2020/10/01	17	Ớt tươi	kg	  1.0	  1.0	  37000	37000
2020/10/01	18	Gừng 	kg	  0.7	  0.7	  70000	49000
2020/10/01	19	Hành khô	kg	  0.5	  0.5	  25000	12500
2020/10/01	20	Rau mùng tơi	kg	  12.0	  12.0	  5000	60000
2020/10/01	21	Dưa hấu	kg	  36.0	  36.0	  14000	504000
2020/10/01	22	Ổi 	kg	  43.0	  43.0	  12000	516000
2020/10/01	23	Me chua	kg	  3.0	  3.0	  15000	45000
2020/10/01	24	Tiêu bắc	kg	  0.1	  0.1	  250000	25000
2020/10/01	25	Khay xốp dùng 1 lần	bộ	  60.0	  60.0	  4800	288000
2020/10/01	26	Trứng vịt lộn	Kg	  178.0	  178.0	  3500	623000
2020/10/01	27	Sữa tươi 180mmml	Hộp	  208.0	  208.0	  6500	1352000
2020/10/02	1	Gạo tẻ	Kg	  3500.0	  3500.0	  12900	45150000
2020/10/02	2	Vừng lạc	Kg	  40.0	  40.0	  55000	2200000
2020/10/02	3	Dầu mỡ ăn	Lít	  40.0	  40.0	  25000	1000000
2020/10/02	4	Nước mắm loại 1	Lít	  300.0	  300.0	  16000	4800000
2020/10/02	5	Dầu rửa DCCD	Lít	  40.0	  40.0	  20000	800000
2020/10/02	6	Trứng vịt	Kg	  23.0	  23.0	  46000	1058000
2020/10/02	7	Đậu phụ	Kg	  24.0	  24.0	  13000	312000
2020/10/02	8	Thịt bò 	Kg	  11.5	  11.5	  270000	3105000
2020/10/02	9	Cá chim	kg	  38.0	  38.0	  40000	1520000
2020/10/02	10	Tôm đầm	kg	  14.0	  14.0	  135000	1890000
2020/10/02	11	Thịt vịt	kg	  36.0	  36.0	  75000	2700000
2020/10/02	12	Chả lợn	kg	  12.8	  12.8	  130000	1664000
2020/10/02	13	Thịt lợn mông	kg	  11.0	  11.0	  108000	1188000
2020/10/02	14	Thịt lợn vai	kg	  11.0	  11.0	  108000	1188000
2020/10/02	15	Thịt lợn ba chi	kg	  11.0	  11.0	  108000	1188000
2020/10/02	16	Cuangao	kg	  20.0	  20.0	  25000	500000
2020/10/02	17	Mướp đắng	kg	  8.0	  8.0	  14000	112000
2020/10/02	18	Cà chua	kg	  6.0	  6.0	  22000	132000
2020/10/02	19	Hành lá	kg	  1.5	  1.5	  23000	34500
2020/10/02	20	Ớt tươi	kg	  1.0	  1.0	  37000	37000
2020/10/02	21	Gừng 	kg	  1.0	  1.0	  70000	70000
2020/10/02	22	Tỏi	kg	  0.5	  0.5	  25000	12500
2020/10/02	23	Hành khô	kg	  0.5	  0.5	  25000	12500
2020/10/02	24	Rau mùng tơi	kg	  10.0	  10.0	  7000	70000
2020/10/02	25	Chuối	kg	  36.0	  36.0	  14000	504000
2020/10/02	26	Ổi 	kg	  42.0	  42.0	  12000	504000
2020/10/02	27	Bắp cải	kg	  90.0	  90.0	  6000	540000
2020/10/02	28	Thịt bò loại 2	kg	  8.0	  8.0	  180000	1440000
