2020-10-1	Trứng vịt	  16.0	  16.0	  46000
2020-10-1	Đậu phụ	  24.0	  24.0	  13000
2020-10-1	Thịt lợn nạc	  15.3	  15.3	  126000
2020-10-1	Thịt bò 	  11.5	  11.5	  270000
2020-10-1	Thịt gà loại 1	  32.0	  32.0	  110000
2020-10-1	Cá rô phi	  40.0	  40.0	  40000
2020-10-1	Tôm đầm	  14.0	  14.0	  135000
2020-10-1	Thịt bê	  9.4	  9.4	  270000
2020-10-1	Giò nạc	  13.0	  13.0	  130000
2020-10-1	Chả lợn	  13.0	  13.0	  130000
2020-10-1	Cuangao	  20.0	  20.0	  15000
2020-10-1	Rau muống	  90.0	  90.0	  4500
2020-10-1	Mướp đắng	  8.0	  8.0	  15000
2020-10-1	Cà chua	  6.0	  6.0	  22000
2020-10-1	Hành lá	  1.5	  1.5	  23000
2020-10-1	Dưa chua	  5.0	  5.0	  15000
2020-10-1	Ớt tươi	  1.0	  1.0	  37000
2020-10-1	Gừng 	  0.7	  0.7	  70000
2020-10-1	Hành khô	  0.5	  0.5	  25000
2020-10-1	Rau mùng tơi	  12.0	  12.0	  5000
2020-10-1	Dưa hấu	  36.0	  36.0	  14000
2020-10-1	Ổi 	  43.0	  43.0	  12000
2020-10-1	Me chua	  3.0	  3.0	  15000
2020-10-1	Tiêu bắc	  0.1	  0.1	  250000
2020-10-1	Khay xốp dùng 1 lần	  60.0	  60.0	  4800
2020-10-1	Trứng vịt lộn	  178.0	  178.0	  3500
2020-10-1	Sữa tươi 180mmml	  208.0	  208.0	  6500
2020-10-2	Gạo tẻ	  3500.0	  3500.0	  12900
2020-10-2	Vừng lạc	  40.0	  40.0	  55000
2020-10-2	Dầu mỡ ăn	  40.0	  40.0	  25000
2020-10-2	Nước mắm loại 1	  300.0	  300.0	  16000
2020-10-2	Dầu rửa DCCD	  40.0	  40.0	  20000
2020-10-2	Trứng vịt	  23.0	  23.0	  46000
2020-10-2	Đậu phụ	  24.0	  24.0	  13000
2020-10-2	Thịt bò 	  11.5	  11.5	  270000
2020-10-2	Cá chim	  38.0	  38.0	  40000
2020-10-2	Tôm đầm	  14.0	  14.0	  135000
2020-10-2	Thịt vịt	  36.0	  36.0	  75000
2020-10-2	Chả lợn	  12.8	  12.8	  130000
2020-10-2	Thịt lợn mông	  11.0	  11.0	  108000
2020-10-2	Thịt lợn vai	  11.0	  11.0	  108000
2020-10-2	Thịt lợn ba chi	  11.0	  11.0	  108000
2020-10-2	Cuangao	  20.0	  20.0	  25000
2020-10-2	Mướp đắng	  8.0	  8.0	  14000
2020-10-2	Cà chua	  6.0	  6.0	  22000
2020-10-2	Hành lá	  1.5	  1.5	  23000
2020-10-2	Ớt tươi	  1.0	  1.0	  37000
2020-10-2	Gừng 	  1.0	  1.0	  70000
2020-10-2	Tỏi	  0.5	  0.5	  25000
2020-10-2	Hành khô	  0.5	  0.5	  25000
2020-10-2	Rau mùng tơi	  10.0	  10.0	  7000
2020-10-2	Chuối	  36.0	  36.0	  14000
2020-10-2	Ổi 	  42.0	  42.0	  12000
2020-10-2	Bắp cải	  90.0	  90.0	  6000
2020-10-2	Thịt bò loại 2	  8.0	  8.0	  180000
2020-10-2	Đường trắng	  1.0	  1.0	  15000
2020-10-2	Mực tươi	  16.0	  16.0	  150000
2020-10-2	Khay xốp dùng 1 lần	  61.0	  61.0	  4800
2020-10-2	Sữa tươi 180mmml	  211.0	  211.0	  6500
2020-10-3	Trứng vịt	  15.0	  15.0	  46000
2020-10-3	Đậu phụ	  23.0	  23.0	  13000
2020-10-3	Thịt bò 	  11.5	  11.5	  270000
2020-10-3	Thịt gà loại 1	  50.0	  50.0	  108000
2020-10-3	Cá rô phi	  38.0	  38.0	  40000
2020-10-3	Cá chép	  16.6	  16.6	  65000
2020-10-3	Tôm đầm	  14.0	  14.0	  135000
2020-10-3	Giò nạc	  12.5	  12.5	  133000
2020-10-3	Chả lợn	  12.5	  12.5	  133000
2020-10-3	Cuangao	  20.0	  20.0	  25000
2020-10-3	Rau ngót	  10.0	  10.0	  6000
2020-10-3	Cà chua	  6.0	  6.0	  27000
2020-10-3	Hành lá	  1.5	  1.5	  20000
2020-10-3	Dưa chua	  5.0	  5.0	  15000
2020-10-3	Gừng 	  1.0	  1.0	  70000
2020-10-3	Tỏi	  0.5	  0.5	  23000
2020-10-3	Hành khô	  0.5	  0.5	  23000
2020-10-3	Tim lợn	  7.0	  7.0	  300000
2020-10-3	Chuối	  36.0	  36.0	  14000
2020-10-3	Dưa hấu	  36.0	  36.0	  14000
2020-10-3	Bắp cải	  85.0	  85.0	  6000
2020-10-3	Me chua	  2.0	  2.0	  15000
2020-10-3	 Đỗ cô ve	  8.0	  8.0	  7000
2020-10-3	Khay xốp dùng 1 lần	  62.0	  62.0	  4800
2020-10-3	Sữa tươi 180mmml	  215.0	  215.0	  6500
2020-10-4	Trứng vịt	  16.0	  16.0	  46000
2020-10-4	Đậu phụ	  23.0	  23.0	  13000
2020-10-4	Thịt lợn nạc	  15.0	  15.0	  133000
2020-10-4	Thịt gà loại 1	  32.0	  32.0	  108000
2020-10-4	Cá mè	  36.0	  36.0	  33000
2020-10-4	Cá biển	  15.0	  15.0	  40000
2020-10-4	Thịt vịt	  36.0	  36.0	  78000
2020-10-4	Giò nạc	  16.5	  16.5	  133000
2020-10-4	Thịt lợn mông	  11.0	  11.0	  114000
2020-10-4	Thịt lợn vai	  11.0	  11.0	  114000
2020-10-4	Thịt lợn ba chi	  11.0	  11.0	  114000
2020-10-4	Cuangao	  18.0	  18.0	  25000
2020-10-4	Rau muống	  94.0	  94.0	  4500
2020-10-4	Rau ngót	  8.0	  8.0	  6000
2020-10-4	Cà chua	  5.0	  5.0	  27000
2020-10-4	Hành lá	  1.5	  1.5	  20000
2020-10-4	Dưa chua	  3.0	  3.0	  15000
2020-10-4	Ớt tươi	  1.0	  1.0	  32000
2020-10-4	Gừng 	  1.0	  1.0	  70000
2020-10-4	Tỏi	  0.5	  0.5	  23000
2020-10-4	Hành khô	  0.5	  0.5	  23000
2020-10-4	Miến	  1.0	  1.0	  40000
2020-10-4	Mộc nhĩ	  0.3	  0.3	  100000
2020-10-4	Đa nem	  2.5	  2.5	  40000
2020-10-4	Dưa hấu	  37.0	  37.0	  14000
2020-10-4	Ổi 	  43.0	  43.0	  12000
2020-10-4	Me chua	  3.0	  3.0	  15000
2020-10-4	Thịt bò loại 2	  10.0	  10.0	  180000
2020-10-4	Mực tươi	  8.2	  8.2	  150000
2020-10-4	Riềng	  1.0	  1.0	  15000
2020-10-4	Khay xốp dùng 1 lần	  63.0	  63.0	  4800
2020-10-4	Sữa tươi 180mmml	  218.0	  218.0	  6500
2020-10-5	Trứng vịt	  31.0	  31.0	  46000
2020-10-5	Đậu phụ	  23.0	  23.0	  13000
2020-10-5	Thịt lợn nạc	  15.5	  15.5	  133000
2020-10-5	Thịt gà loại 1	  32.0	  32.0	  108000
2020-10-5	Cá rô phi	  39.0	  39.0	  40000
2020-10-5	Tôm đầm	  14.2	  14.2	  135000
2020-10-5	Thịt bê	  9.8	  9.8	  270000
2020-10-5	Thịt vịt	  36.0	  36.0	  78000
2020-10-5	Giò nạc	  13.0	  13.0	  133000
2020-10-5	Chả lợn	  13.0	  13.0	  133000
2020-10-5	Cuangao	  20.0	  20.0	  25000
2020-10-5	Rau muống	  90.0	  90.0	  4500
2020-10-5	Cà chua	  5.0	  5.0	  27000
2020-10-5	Hành lá	  1.5	  1.5	  20000
2020-10-5	Dưa chua	  5.0	  5.0	  15000
2020-10-5	Ớt tươi	  1.0	  1.0	  32000
2020-10-5	Gừng 	  0.7	  0.7	  70000
2020-10-5	Tỏi	  0.7	  0.7	  23000
2020-10-5	Hành khô	  0.5	  0.5	  23000
2020-10-5	Rau mùng tơi	  13.0	  13.0	  5000
2020-10-5	Dưa hấu	  37.0	  37.0	  14000
2020-10-5	Ổi 	  43.0	  43.0	  12000
2020-10-5	Me chua	  2.0	  2.0	  15000
2020-10-5	Khay xốp dùng 1 lần	  62.0	  62.0	  4800
2020-10-5	Trứng vịt lộn	  184.0	  184.0	  3500
2020-10-5	Sữa tươi 180mmml	  215.0	  215.0	  6500
2020-10-6	Gạo tẻ	  2000.0	  2000.0	  12900
2020-10-6	Trứng vịt	  16.0	  16.0	  46000
2020-10-6	Đậu phụ	  24.0	  24.0	  13000
2020-10-6	Thịt bò 	  12.0	  12.0	  270000
2020-10-6	Cá mè	  36.0	  36.0	  33000
2020-10-6	Tôm đầm	  14.5	  14.5	  135000
2020-10-6	Thịt vịt	  36.0	  36.0	  78000
2020-10-6	Chả lợn	  13.0	  13.0	  133000
2020-10-6	Thịt lợn mông	  12.0	  12.0	  114000
2020-10-6	Thịt lợn vai	  12.0	  12.0	  114000
2020-10-6	Thịt lợn ba chi	  12.0	  12.0	  114000
2020-10-6	Cuangao	  20.0	  20.0	  25000
2020-10-6	Cà chua	  5.0	  5.0	  27000
2020-10-6	Hành lá	  1.5	  1.5	  20000
2020-10-6	Dưa chua	  3.0	  3.0	  15000
